word	pos
land_reform	NN
reform	NN
cover	VB
covering	NN
phytology	NN
botanize	VB
kamet	NN
mountain_peak	NN
question	NN
inquire	VB
class_arachnida	NN
spidery	JJ
run_up	VB
raise	VB
empathy	NN
sympathy	NN
pullout	NN
retreat	NN
variation	NN
vary	VB
genus_equisetum	NN
fern_genus	NN
write	VB
write_up	VB
queen_regnant	NN
female_aristocrat	NN
working_dog	NN
domestic_dog	NN
charge	NN
request	NN
primulaceae	NN
glaux	NN
proteaceae	NN
green_dinosaur	NN
lodge	VB
accommodation	NN
surmounter	NN
restrainer	NN
piciformes	NN
animal_order	NN
chip	NN
nick	VB
traduce	VB
traducement	NN
propagator	NN
spread	VB
lacing	NN
lace_up	VB
justice_department	NN
executive_department	NN
needlewood	NN
shrub	NN
expand	VB
grow	VB
sieve	NN
strain	VB
scandal	NN
shock	VB
trogium_pulsatorium	NN
liposcelis_divinatorius	NN
taiwan	NN
taiwanese	NN
stone_facing	NN
revet	VB
striker	NN
strike	VB
hitch	NN
connexion	NN
pious	JJ
piousness	NN
sisyrinchium	NN
liliid_monocot_genus	NN
valency	NN
biology	NN
panegyrist	NN
pean	NN
genus_carya	NN
pecan_tree	NN
army_officer	NN
officer	NN
genus_agathis	NN
gymnosperm_genus	NN
ceratonia_siliqua	NN
locust_pod	NN
prickle-weed	NN
herbaceous_plant	NN
manufacture	VB
think_up	VB
abstract	VB
view	VB
tank	VB
tank	NN
run_out	VB
wipe_out	VB
neuter	NN
spay	VB
ethicist	NN
moral_philosophy	NN
acetylation	NN
acetylize	VB
posture	VB
deport	VB
preparation	NN
train	VB
ethnic_slur	NN
wop	NN
genus_arrhenatherum	NN
plant_genus	NN
pick_at	VB
knocker	NN
fluttering	NN
wave	VB
europe	NN
republic_of_estonia	NN
outfit	NN
outfit	VB
intensify	VB
intensification	NN
papaya	NN
edible_fruit	NN
casablanca	NN
urban_center	NN
refer	VB
name	NN
constitutionalist	NN
proponent	NN
ochroma_lagopus	NN
flowering_tree	NN
adagio	NN
music	NN
average	NN
ratio	NN
french_republic	NN
sextillion	NN
make_full	VB
shade	VB
folding_chair	NN
stave	NN
kilolitre	NN
metric_capacity_unit	NN
spouse	NN
pair	VB
weight	VB
slant	NN
tactician	NN
tactics	NN
announcer	NN
broadcaster	NN
abator	NN
slake	VB
ontology	NN
system	NN
water_heater	NN
snip_off	VB
clipper	NN
cupper	NN
tea	NN
phylogeny	NN
evolve	VB
prairie_trefoil	NN
suffrutex	NN
aching	NN
suffer	VB
trust	VB
trust	NN
resumption	NN
recommence	VB
curb	NN
restraint	NN
appeal	VB
appeal	NN
navy_yard	NN
war_machine	NN
receiving_system	NN
receive	VB
touchwood	NN
kindle	VB
orientalism	NN
liberal_arts	NN
recruiter	NN
recruit	VB
waterleaf_family	NN
hydrophyllum	NN
leonotis	NN
asterid_dicot_genus	NN
digest	VB
optical_condenser	NN
afghanistani	JJ
islamic_state_of_afghanistan	NN
service	NN
upkeep	NN
soy_sauce	NN
condiment	NN
africa	NN
republic_of_benin	NN
planing_machine	NN
shave	VB
defense	NN
team	NN
oblique	JJ
convergent	JJ
paint	VB
painting	NN
manifest	VB
testify	VB
uvulopalatopharyngoplasty	NN
surgical_process	NN
vitalizer	NN
vitalize	VB
meeting	NN
happen	VB
remedy	VB
practice_of_medicine	NN
wheat_berry	NN
grain	NN
reason_out	VB
understanding	NN
character_set	NN
listing	NN
onslaught	NN
operation	NN
right	JJ
proper	JJ
genus_tamandua	NN
tamandua_tetradactyla	NN
finance	NN
political_economy	NN
generality	NN
quality	NN
expatiation	NN
expansion	NN
titanium	NN
plane	NN
thrust	VB
lurch	NN
primates	NN
shellac_varnish	NN
varnish	NN
slow_down	VB
modify	VB
theology	NN
theology	NN
labial_stop	NN
stop_consonant	NN
scutigerella	NN
symphilid	NN
adequateness	NN
equal	JJ
composite_plant	NN
flower	NN
morning_time	NN
time_period	NN
explicate	VB
explication	NN
suit	NN
sue	VB
john_kenneth_galbraith	NN
economist	NN
rome	NN
roman	NN
disguise	NN
camouflage	VB
sensitizing	NN
immunization	NN
genus_antidorcas	NN
mammal_genus	NN
finding	NN
physical_object	NN
linguistic_unit	NN
followup	NN
follow_up	VB
republic_of_india	NN
himalayas	NN
think	VB
think	NN
license	VB
license	NN
genus_barbarea	NN
dilleniid_dicot_genus	NN
yellow_metal	NN
brass	NN
play	NN
vice	NN
zizania	NN
monocot_genus	NN
station	NN
navy	NN
work	VB
stir	VB
side	NN
fauna	NN
genus_baphia	NN
rosid_dicot_genus	NN
impress	VB
impressive	JJ
hippoboscidae	NN
arthropod_family	NN
underscore	VB
stress	VB
mastership	NN
spot	NN
assurance	NN
insurance	NN
doubling	NN
duplicate	VB
half_mile	NN
linear_unit	NN
recording_machine	NN
tape	VB
merrymaking	NN
festivity	NN
tenant	VB
populate	VB
produce	VB
getting	NN
trichloromethane	NN
haloform	NN
job	NN
production	NN
dreaming	NN
woolgather	VB
lectureship	NN
lecturing	NN
inform	VB
inform	VB
rich	JJ
richness	NN
chlamydia	NN
venus's_curse	NN
summon	VB
summoning	NN
whisperer	NN
whisper	VB
inspirer	NN
revolutionize	VB
splotch	VB
spot	VB
levy_en_masse	NN
kid	NN
progeny	NN
stopping_point	NN
ending	NN
want	NN
poverty	NN
expansive	JJ
turn_away	VB
turn	VB
clipper	NN
buspirone	NN
minor_tranquillizer	NN
glareolidae	NN
bird_family	NN
yowl	NN
yowl	VB
genus_felis	NN
wildcat	NN
hard_cider	NN
cyder	NN
walk	VB
zimmer_frame	NN
guvnor	NN
hirer	NN
trust	NN
syndicate	NN
pars_distilis	NN
endocrine_gland	NN
rock_outcrop	NN
stone	NN
anesthesia	NN
anesthetist	NN
vex	VB
stupefaction	NN
uphold	VB
preservation	NN
inflate	VB
rising_prices	NN
refine	VB
refinement	NN
outshine	VB
surpass	VB
rain	NN
successiveness	NN
respiratory	JJ
respire	VB
empty	VB
voidance	NN
reach	NN
potentiality	NN
soaring	NN
flying	NN
physical	JJ
physicalness	NN
expedient	JJ
convenient	JJ
parti-color	VB
motley	NN
rearrangement	NN
transcription	NN
enclosure	NN
wrap	VB
point	VB
point	NN
remuneration	NN
payment	NN
parenthesis	NN
wander	VB
mouth	NN
lip	NN
family_falconidae	NN
falcon	NN
transmutation	NN
modification	NN
talk_over	VB
talk_of	VB
break_up	VB
breakable	JJ
quechua	NN
south_american_indian	NN
counselor	NN
consultant	NN
revise	VB
rewriting	NN
rat_snake	NN
colubrid_snake	NN
madam	NN
woman	NN
genus_calvatia	NN
fungus_genus	NN
room	NN
wall	NN
springbuck	NN
gazelle	NN
pill_roller	NN
pharmacy	NN
sleeping	NN
dreaming	NN
ordinary	JJ
common	JJ
knock	VB
strike	VB
music	NN
sound	NN
republic_of_iraq	NN
asur	NN
regard	VB
involvement	NN
front_bench	NN
seat	NN
young_woman	NN
maidhood	NN
family_apocynaceae	NN
genus_allamanda	NN
protrude	VB
swelling	NN
passionate	JJ
hot	JJ
refreshen	VB
refreshment	NN
circulation	NN
blood_pressure	NN
pauperize	VB
pauperization	NN
passing	NN
pass	VB
symbolizing	NN
figuration	NN
playing_period	NN
chukker	NN
phonetician	NN
linguistic_scientist	NN
redact	VB
rewriter	NN
advertizer	NN
push	VB
william_clark_gable	NN
thespian	NN
outlaw	VB
outlawry	NN
uncheerfulness	NN
attribute	NN
passage	NN
delivery	NN
reckoner	NN
work_out	VB
make_up	VB
war_paint	NN
savvy	VB
comprehensible	JJ
truck	NN
stabilizer_bar	NN
false_pretense	NN
violation	NN
nlp	NN
ip	NN
natural_covering	NN
spread_over	VB
touch_on	VB
reparation	NN
patron_saint	NN
saint	NN
sika	NN
deer	NN
dictate	NN
rule	NN
discontented	JJ
discontentment	NN
correspondence	NN
tally	VB
ko	NN
knock_out	VB
coattails_effect	NN
politics	NN
suborder_passeres	NN
paridae	NN
sales_talk	NN
vend	VB
ulex	NN
whin	NN
relaxer	NN
unwind	VB
snick	NN
individualize	VB
tell_apart	VB
old_testament	NN
will	NN
vulnerability	NN
vulnerable	JJ
contradiction_in_terms	NN
logic	NN
commission	VB
pass	VB
petrocoptis	NN
caryophylloid_dicot_genus	NN
marbleize	VB
marbleizing	NN
ingenuous	JJ
naturalness	NN
nyctalopia	NN
visual_impairment	NN
begin	VB
start	VB
genus_tetrahymena	NN
protoctist_genus	NN
positivity	NN
unquestionableness	NN
uganda	NN
lake_edward	NN
procedure	NN
work	VB
spouter	NN
chatter	VB
unsavoriness	NN
unsavoury	JJ
drawing	NN
draughtsman	NN
radiolocation	NN
waveguide	NN
explanation	NN
object_lesson	NN
word_of_advice	NN
playing_field	NN
midfield	NN
william_morris	NN
journeyman	NN
prumnopitys	NN
prumnopitys_ferruginea	NN
bottom	NN
bottom	VB
respite	VB
respite	NN
family_blenniidae	NN
combtooth_blenny	NN
trailing_windmills	NN
wildflower	NN
school_of_thought	NN
philosophical	JJ
simonize	VB
simoniz	NN
schedule	VB
scheduling	NN
parulidae	NN
icteria	NN
strawberry-shrub_family	NN
genus_calycanthus	NN
trailblazer	NN
pioneer	VB
travel	VB
proceed	VB
syllogize	VB
syllogism	NN
upper_jawbone	NN
jaw	NN
william_harvey	NN
physician	NN
wise	JJ
wiseness	NN
isopyrum	NN
isopyrum_biternatum	NN
genus_bos	NN
war_game	NN
scutigeridae	NN
scutigera	NN
hygrophorus	NN
get	VB
movement	NN
square_up	VB
settlement	NN
worker	NN
soul	NN
lady_fern	NN
fern	NN
flat	NN
lodging	NN
ayah	NN
house_servant	NN
typecast	VB
type	NN
the_netherlands	NN
frisian_islands	NN
chief_of_staff	NN
